rowid,bank,sentiment
0, GXS, Positive
1, GXS, Positive
2, GXS, Neutral
3, GXS, Positive
4, GXS, Positive
5, GXS, Neutral
6, GXS, Positive
7, GXS, Negative
8, GXS, Positive
9, GXS, Negative
10, GXS, Neutral
11, GXS, Negative
12, GXS, Positive
13, GXS, Positive
14, GXS, Negative
15, GXS, Positive
16, GXS, Neutral
17, GXS, Positive
18, GXS, Negative
19, GXS, Negative
20, GXS, Positive
21, GXS, Positive
22, GXS, Positive
23, GXS, Positive
24, GXS, Positive
25, GXS, Neutral
26, GXS, Neutral
27, GXS, Positive
28, GXS, Positive
29, GXS, Negative
30, GXS, Positive
31, GXS, Positive
32, GXS, Positive
33, GXS, Positive
34, GXS, Neutral
35, GXS, Positive
36, GXS, Positive
37, GXS, Positive
38, GXS, Negative
39, GXS, Neutral
40, GXS, Neutral
41, GXS, Negative
42, GXS, Positive
43, GXS, Positive
44, GXS, Positive
45, GXS, Positive
46, GXS, Positive
47, GXS, Positive
48, GXS, Negative
49, GXS, Positive
50, GXS, Positive
51, GXS, Positive
52, GXS, Positive
53, GXS, Neutral
54, GXS, Positive
55, GXS, Positive
56, GXS, Neutral
57, GXS, Positive
58, GXS, Positive
59, GXS, Neutral
60, GXS, Negative
61, GXS, Positive
62, GXS, Positive
63, GXS, Positive
64, GXS, Negative
65, GXS, Positive
66, GXS, Positive
67, GXS, Positive
68, GXS, Positive
69, GXS, Neutral
70, GXS, Negative
71, GXS, Negative
72, GXS, Positive
73, GXS, Positive
74, GXS, Negative
75, GXS, Negative
76, GXS, Negative
77, GXS, Negative
78, GXS, Negative
79, GXS, Negative
80, GXS, Neutral
81, GXS, Positive
82, GXS, Negative
83, GXS, Neutral
84, GXS, Negative
85, GXS, Positive
86, GXS, Neutural
87, GXS, Positive
88, GXS, Positive
89, GXS, Positive
90, GXS, Negative
91, GXS, Neutral
92, GXS, Negative
93, GXS, Negative
94, GXS, Negative
95, GXS, Positive
96, GXS, Negative
97, GXS, Positive
98, GXS, Positive
99, GXS, Positive
100, GXS, Negative
101, GXS, Positive
102, GXS, Positive
103, GXS, Positive
104, GXS, Neutral
105, GXS, Positive
106, GXS, Negative
107, GXS, Neutral
108, GXS, Negative
109, GXS, Positive
110, GXS, Negative
111, GXS, Positive
112, GXS, Negative
113, GXS, Neutral
114, GXS, Positive
115, GXS, Positive
116, GXS, Negative
117, GXS, Negative
118, GXS, Negative
119, GXS, Positive
120, GXS, Positive
121, GXS, Positive
122, GXS, Positive
123, GXS, Positive
124, GXS, Neutral
125, GXS, Neutral
126, GXS, Neutral
127, GXS, Positive
128, GXS, Positive
129, GXS, Neutral
130, GXS, Negative
131, GXS, Negative
132, Trust, Negative
133, Trust, Positive
134, Trust, Neutral
135, Trust, Negative
136, Trust, Neutral
137, Trust, Neutral
138, Trust, Positive
139, Trust, Positive
140, Trust, Positive
141, Trust, Neutral
142, Trust, Neutral
143, Trust, Negative
144, Trust, Positive
145, Trust, Positive
146, Trust, Negative
147, Trust, Neutral
148, Trust, Negative
149, Trust, Positive
150, Trust, Positive
151, Trust, Negative
152, Trust, Positive
153, Trust, Negative
154, Trust, Positive
155, Trust, Negative
156, Trust, Neutral
157, Trust, Negative
158, Trust, Neutral
159, Trust, Negative
160, Trust, Negative
161, Trust, Negative
162, Trust, Negative
163, Trust, Negative
164, Trust, Neutral
165, Trust, Negative
166, Trust, Neutral
167, Trust, Negative
168, Trust, Neutral
169, Trust, Neutral
170, Trust, Negative
171, Trust, Negative
172, Trust, Negative
173, Trust, Negative
174, Trust, Negative
175, Trust, Neutral
176, Trust, Negative
177, Trust, Neutral
178, Trust, Negative
179, Trust, Positive
180, Trust, Positive
181, Trust, Negative
182, Trust, Neutral
183, Trust, Negative
184, Trust, Positive
185, Trust, Negative
186, Trust, Neutral
187, Trust, Neutral
188, Trust, Negative
189, Trust, Negative
190, Trust, Neutral
191, Trust, Positive
192, Trust, Neutral
193, Trust, Negative
194, Trust, Neutral
195, Trust, Negative
196, Trust, Negative
197, Trust, Negative
198, Trust, Neutral
199, Trust, Negative
200, Trust, Neutral
201, Trust, Neutral
202, Trust, Positive
203, Trust, Positive
204, Trust, Neutral
205, Trust, Negative
206, Trust, Neutral
207, Trust, Positive
208, Trust, Neutral
209, Trust, Neutral
210, Trust, Positive
211, Trust, Neutral
212, Trust, Positive
213, Trust, Neutral
214, Trust, Positive
215, Trust, Negative
216, Trust, Negative
217, Trust, Negative
218, Trust, Negative
219, Trust, Neutral
220, Trust, Positive
221, Trust, Neutral
222, Trust, Positive
223, Trust, Negative
224, Trust, Negative
225, Trust, Positive
226, Trust, Positive
227, Trust, Neutral
228, Trust, Neutral
229, Trust, Neutral
230, Trust, Positive
231, Trust, Neutral
232, Trust, Neutral
233, Trust, Neutral
234, Trust, Negative
235, Trust, Neutral
236, Trust, Negative
237, Trust, Negative
238, Trust, Negative
239, Trust, Negative
240, Trust, Negative
241, Trust, Negative
242, Trust, Positive
243, Trust, Negative
244, Trust, Negative
245, Trust, Positive
246, Trust, Neutral
247, Trust, Negative
248, Trust, Positive
249, Trust, Negative
250, Trust, Positive
251, Trust, Neutral
252, Trust, Positive
253, Trust, Neutral
254, Trust, Neutral
255, Trust, Negative
256, Trust, Positive
257, Trust, Positive
258, Trust, Positive
259, Trust, Negative
260, Trust, Negative
261, Trust, Positive
262, Trust, Negative
263, Trust, Positive
264, Trust, Neutral
265, Trust, Positive
266, Trust, Negative
267, Trust, Neutral
268, Trust, Positive
269, Trust, Neutral
270, Trust, Negative
271, Trust, Neutral
272, Trust, Positive
273, Trust, Negative
274, Trust, Neutral
275, Trust, Positive
276, Trust, Neutral
277, Trust, Positive
278, Trust, Positive
279, Trust, Neutral
280, Trust, Neutral
281, Trust, Neutral
282, Trust, Negative
283, Trust, Positive
284, Trust, Neutral
285, Trust, Positive
286, Trust, Positive
287, Trust, Neutral
288, Trust, Positive
289, Trust, Negative
290, Trust, Negative
291, Trust, Negative
292, Trust, Positive
293, Trust, Positive
294, Trust, Negative
295, Trust, Positive
296, Trust, Negative
297, Trust, Neutral
298, Trust, Negative
299, Trust, Negative
300, Trust, Negative
301, Trust, Negative
302, Trust, Positive
303, Trust, Neutral
304, Trust, Neutral
305, Trust, Neutral
306, Trust, Positive
307, Trust, Positive
308, Trust, Positive
309, Trust, Neutral
310, Trust, Neutral
311, Trust, Neutral
312, Trust, Positive
313, Trust, Negative
314, Trust, Negative
315, Trust, Neutral
316, Trust, Neutral
317, Trust, Negative
318, Trust, Positive
319, Trust, Neutral
320, Trust, Neutral
321, Trust, Positive
322, Trust, Positive
323, Trust, Positive
324, Trust, Positive
325, Trust, Negative
326, Trust, Neutral
327, Trust, Positive
328, Trust, Neutral
329, Trust, Positive
330, Trust, Negative
331, Trust, Neutral
332, Trust, Negative
333, Trust, Neutral
334, Trust, Positive
335, Trust, Positive
336, Trust, Neutral
337, Trust, Neutral
338, Trust, Negative
339, Trust, Positive
340, Trust, Negative
341, Trust, Positive
342, Trust, Neutral
343, Trust, Positive
344, Trust, Positive
345, Trust, Positive
346, Trust, Positive
347, Trust, Positive
348, Trust, Negative
349, Trust, Negative
350, Trust, Positive
351, Trust, Negative
352, Trust, Positive
353, Trust, Positive
354, Trust, Positive
355, Trust, Negative
356, Trust, Negative
357, Trust, Neutral
358, Trust, Neutral
359, Trust, Neutral
360, Trust, Neutral
361, Trust, Positive
362, Trust, Positive
363, Trust, Neutral
364, Trust, Positive
365, Trust, Negative
366, Trust, Positive
367, Trust, Neutral
368, Trust, Neutral
369, Trust, Neutral
370, Trust, Neutral
371, Trust, Negative
372, Trust, Negative
373, Trust, Negative
374, Trust, Positive
375, Trust, Negative
376, Trust, Negative
377, Trust, Negative
378, Trust, Neutral
379, Trust, Negative
380, Trust, Neutral
381, Trust, Positive
382, Trust, Negative
383, Trust, Positive
384, Trust, Positive
385, Trust, Positive
386, Trust, Positive
387, Trust, Neutral
388, Trust, Positive
389, Trust, Negative
390, Trust, Negative
391, Trust, Negative
392, Trust, Neutral
393, Trust, Negative
394, Trust, Positive
395, Trust, Negative
396, Trust, Neutral
397, Trust, Positive
398, Trust, Positive
399, Trust, Neutral
400, Trust, Positive
401, Trust, Negative
402, Trust, Positive
403, Trust, Positive
404, Trust, Neutral
405, Trust, Negative
406, Trust, Positive
407, Trust, Positive
408, Trust, Negative
409, Trust, Negative
410, Trust, Negative
411, Trust, Neutral
412, Trust, Positive
413, Trust, Positive
414, Trust, Positive
415, Trust, Positive
416, Trust, Negative
417, Trust, Negative
418, Trust, Positive
419, Trust, Negative
420, Trust, Positive
421, Trust, Negative
422, Trust, Negative
423, Trust, Neutral
424, Trust, Negative
425, Trust, Neutral
426, Trust, Positive
427, Trust, Negative
428, Trust, Positive
429, Trust, Negative
430, Trust, Negative
431, Trust, Negative
432, Trust, Positive
433, Trust, Positive
434, Trust, Negative
435, Trust, Negative
436, Trust, Positive
437, Trust, Positive
438, Trust, Negative
439, Trust, Neutral
440, Trust, Negative
441, Trust, Positive
442, Trust, Positive
443, Trust, Positive
444, Trust, Neutral
445, Trust, Negative
446, Trust, Neutral
447, Trust, Neutral
448, Trust, Negative
449, Trust, Neutral
450, Trust, Neutral
451, Trust, Negative
452, Trust, Positive
453, Trust, Positive
454, Trust, Positive
455, Trust, Positive
456, Trust, Negative
457, Trust, Negative
458, Trust, Neutral
459, Trust, Positive
460, Trust, Positive
461, Trust, Negative
462, Trust, Neutral
463, Trust, Positive
