rowid,bank,sentiment,problem_category,issue
0, GXS, Positive,app,
1, GXS, Positive,banking,
2, GXS, Neutral,banking,Interest rate concerns
3, GXS, Positive,app,
4, GXS, Positive,app,
5, GXS, Neutral,banking,Long Wait Times
6, GXS, Positive,app,
7, GXS, Negative,banking,technical issues
8, GXS, Positive,app,
9, GXS, Negative,app,other
10, GXS, Neutral,banking,Interest rate concerns
11, GXS, Negative,app,Difficulty applying savings account
12, GXS, Positive,banking,
13, GXS, Positive,app,
14, GXS, Negative,banking,none
15, GXS, Positive,app,
16, GXS, Neutral,banking,other
17, GXS, Positive,app,
18, GXS, Negative,app,lack of expected features or functionality
19, GXS, Negative,app,other
20, GXS, Positive,app,
21, GXS, Positive,app,
22, GXS, Positive,app,
23, GXS, Positive,app,
24, GXS, Positive,app,
25, GXS, Neutral,app,other
26, GXS, Neutral,app,none
27, GXS, Positive,app,
28, GXS, Positive,app,
29, GXS, Negative,app,technical difficulties during registration and setup
30, GXS, Positive,app,
31, GXS, Positive,app,
32, GXS, Positive,app,
33, GXS, Positive,app,
34, GXS, Neutral,app,none
35, GXS, Positive,none,
36, GXS, Positive,app,
37, GXS, Positive,app,
38, GXS, Negative,app,other
39, GXS, Neutral,app,other
40, GXS, Neutral,app,other
41, GXS, Negative,app,login issues
42, GXS, Positive,app,
43, GXS, Positive,app,
44, GXS, Positive,app,
45, GXS, Positive,app,
46, GXS, Positive,app,
47, GXS, Positive,app,
48, GXS, Negative,banking,Interest rate concerns
49, GXS, Positive,app,
50, GXS, Positive,app,
51, GXS, Positive,app,
52, GXS, Positive,app,
53, GXS, Neutral,email,
54, GXS, Positive,app,
55, GXS, Positive,app,
56, GXS, Neutral,bank,other
57, GXS, Positive,app,
58, GXS, Positive,app,
59, GXS, Neutral,bank,Interest rate concerns
60, GXS, Negative,app,user interface and design issues
61, GXS, Positive,app,
62, GXS, Positive,app,
63, GXS, Positive,app,
64, GXS, Negative,app,other
65, GXS, Positive,app,
66, GXS, Positive,app,
67, GXS, Positive,banking,
68, GXS, Positive,app,
69, GXS, Neutral,app,other
70, GXS, Negative,banking,other
71, GXS, Negative,banking,account issues
72, GXS, Positive,app,
73, GXS, Positive,none,
74, GXS, Negative,app,technical glitches
75, GXS, Negative,app,technical glitches
76, GXS, Negative,app,other
77, GXS, Negative,app,Account Access Issues
78, GXS, Negative,banking,account issues
79, GXS, Negative,app,login issues
80, GXS, Neutral,app,other
81, GXS, Positive,app,
82, GXS, Negative,app,other
83, GXS, Neutral,banking,other
84, GXS, Negative,app,other
85, GXS, Positive,app,
86, GXS, Neutural,bank,other
87, GXS, Positive,app,
88, GXS, Positive,app,
89, GXS, Positive,app,
90, GXS, Negative,app,other
91, GXS, Neutral,banking,other
92, GXS, Negative,app,other
93, GXS, Negative,app,lack of expected features or functionality
94, GXS, Negative,banking,interest rate concerns
95, GXS, Positive,app,
96, GXS, Negative,app,technical difficulties during registration and setup
97, GXS, Positive,app,
98, GXS, Positive,app,
99, GXS, Positive,app,
100, GXS, Negative,app,login issues
101, GXS, Positive,app,
102, GXS, Positive,app,
103, GXS, Positive,app,
104, GXS, Neutral,app,other
105, GXS, Positive,app,
106, GXS, Negative,app,other
107, GXS, Neutral,banking,other
108, GXS, Negative,app,other
109, GXS, Positive,app,
110, GXS, Negative,banking,technical glitches
111, GXS, Positive,app,
112, GXS, Negative,banking,login problems
113, GXS, Neutral,app,other
114, GXS, Positive,app,
115, GXS, Positive,app,
116, GXS, Negative,app,lack_of_expected_features_or_functionality
117, GXS, Negative,app,other
118, GXS, Negative,app,registration and setup
119, GXS, Positive,app,
120, GXS, Positive,app,
121, GXS, Positive,banking,
122, GXS, Positive,app,
123, GXS, Positive,none,
124, GXS, Neutral,app,other
125, GXS, Neutral,app,other
126, GXS, Neutral,app,The user interface of our app is not user-friendly.
127, GXS, Positive,app,
128, GXS, Positive,app,
129, GXS, Neutral,app,transaction errors
130, GXS, Negative,banking,other
131, GXS, Negative,app,login issues
132, Trust, Negative,banking,Long Wait Times
133, Trust, Positive,none,
134, Trust, Neutral,bank,Long Wait Times
135, Trust, Negative,app,user interface and design issues
136, Trust, Neutral,bank,other
137, Trust, Neutral,banking,account issues
138, Trust, Positive,app,
139, Trust, Positive,app,
140, Trust, Positive,app,
141, Trust, Neutral,banking,Long Wait Times
142, Trust, Neutral,banking,other
143, Trust, Negative,app,Long Wait Times
144, Trust, Positive,banking,
145, Trust, Positive,app,
146, Trust, Negative,banking,Account issues
147, Trust, Neutral,app,other
148, Trust, Negative,app,other
149, Trust, Positive,banking,
150, Trust, Positive,app,
151, Trust, Negative,app,login issues
152, Trust, Positive,app,
153, Trust, Negative,app,Difficulty applying credit card
154, Trust, Positive,app,
155, Trust, Negative,app,other
156, Trust, Neutral,app,other
157, Trust, Negative,app,user interface and design issues
158, Trust, Neutral,app,other
159, Trust, Negative,app,other
160, Trust, Negative,banking,other
161, Trust, Negative,app,user interface and design issues
162, Trust, Negative,app,Long Wait Times
163, Trust, Negative,banking,transaction issues
164, Trust, Neutral,bank,application rejection
165, Trust, Negative,bank,Long Wait Times
166, Trust, Neutral,app,customer service policies
167, Trust, Negative,banking,other
168, Trust, Neutral,,
169, Trust, Neutral,app,user interface and design issues
170, Trust, Negative,banking,other
171, Trust, Negative,banking,Account Access Issues
172, Trust, Negative,app,login issues
173, Trust, Negative,app,customer service
174, Trust, Negative,app,technical glitches
175, Trust, Neutral,bank,account issues
