rowid,date,client,bank,rating,review,developer_response
0,2024-04-15 10:25:18,Apple,GXS,4.0,"I do use GXS for saving and sometimes spending. However, GXS Bank lacks Apple Pay support for GXS Debit Card, which traditional banks and financial institutions such as YouTrip have already implemented Apple Pay due to its convenience. 

Since I usually only carry my phone, Apple Pay makes my life more convenient. However GXS doesn’t support it, and I am forced to use a traditional bank debit card to pay instead. Please please implement Apple Pay for your customers, even Trust Bank has already implemented it long ago. I know you listen to customers feedback because you added payees finally.

Also, please also try to get NETS on your debit card and your app for NETS QR. Paynow isn’t readily accepted by all SGQR payments. If you want a customer base for the underbanked, you need the basics of what is nearly every retail banking has.","{'id': 43309978, 'body': 'Hi Aloyies! We are thrilled that you have opted for our GXS Savings account for your saving and spending needs. Your feedback is important to us, and we are committed to enhancing our product offerings. We sincerely appreciate your support! 🙏😊\r\n\r\n\r\n\r', 'modified': '2024-04-16T18:17:56Z'}"
1,2024-03-06 08:36:37,Apple,GXS,4.0,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,"{'id': 42449861, 'body': ""Hi Eugene! We're thrilled to know that you like our app and our promotions! Rest assured, we're continuously working hard to enhance our features to improve your experience. We can't wait for you to try them out in the future. Thank you for your support! 🙏😊"", 'modified': '2024-03-08T02:53:35Z'}"
2,2022-11-09 03:13:16,Apple,GXS,5.0,"A bank like no other, no bank have such amazing feature to separate your money into different “pockets” to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and it’s amazing to see 💵 coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I can’t wait to see more of it.","{'id': 33087200, 'body': ""Hi Dfdsa132! We're delighted that you love our Saving Pockets features, our high interest rates offering and app design! 💜 We strive to improve our app and products to serve you better.🙏Thank you so much for your 5-star review, it made our day! 🙌"", 'modified': '2022-11-10T12:12:09Z'}"
3,2023-09-09 08:33:43,Apple,GXS,1.0,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.","{'id': 38832230, 'body': 'Hi there! We’re sorry to make you feel that way, and we’ll definitely take this in as a feedback. Rest assured that we’re constantly working hard to improve the experience for all our customers, and would be delighted to be given the chance to serve you again in the future! 🙏 \r', 'modified': '2023-09-11T01:19:06Z'}"
4,2023-06-27 04:01:39,Apple,GXS,2.0,"Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. I’m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June I’ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I can’t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but it’s annoying that the advice provided (killing the app, re-logging in with SingPass) still don’t work.","{'id': 37376460, 'body': 'Hi Kenny, thank you for alerting us to this issue. This is not the experience we want you to have. We are sorry for the inconvenience caused and eager to make things right for you. 🙏 For us to take a closer look at it, please reach out to us directly via our in-app live chat or drop us an email at help@gxs.com.sg. 👀', 'modified': '2023-06-28T09:08:48Z'}"
5,2022-10-02 04:17:49,Apple,GXS,5.0,"I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!","{'id': 32373818, 'body': 'Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n', 'modified': '2022-10-04T05:49:50Z'}"
6,2023-04-23 14:54:16,Apple,GXS,1.0,"Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)","{'id': 36149922, 'body': 'Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! ', 'modified': '2023-04-25T01:35:24Z'}"
7,2024-04-16 12:05:21,Apple,GXS,2.0,"Couple weeks back I was been informed that Grabcard will be discontinued and been advised to switch over to GXS. However, when I try to link my bank account to the GXS account wasn’t as easy as when I tried to do it with grab app. Tried multiple times to link it and constantly mentioned that I can’t link my account as it is due to the name is unmatched, which both account are exactly under the same name. Developer please rectify the issue.","{'id': 43339477, 'body': 'Hi Benzzz001. This is not the experience that we’d want you to have. We’d be happy to resolve this issue for you! Kindly contact our hotline at (+65) 3105 2055, chat in via the app or drop us an email at help@gxs.com.sg with your contact info, device model, and a screenshot of your issue so we can take a closer look into this. Thank you.🙏', 'modified': '2024-04-18T02:49:15Z'}"
8,2023-01-05 07:08:13,Apple,GXS,5.0,"Great app, with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldn’t sign up - as GXS bank is rolling out to users by batches.

Overall a good experience! :)","{'id': 34139193, 'body': ""Welcome aboard @alexfonghere! 🚀 We are thrilled to know that you love our app's interface! We work hard to meet expectations like yours and we’re happy to hear we hit the mark for you. 🤩"", 'modified': '2023-01-07T01:01:16Z'}"
9,2023-09-13 15:30:05,Apple,GXS,1.0,"Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???","{'id': 38903164, 'body': ""Thank you for your valuable feedback! We're actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please don't hesitate to reach out to our 24/7 hotline, and we'll be happy to assist you. Your input is much appreciated!"", 'modified': '2023-09-14T02:01:47Z'}"
