rowid,bank,sentiment
0,GXS,Neutral
1,GXS,Positive
2,GXS,Positive
3,GXS,Neutral
4,GXS,Positive
5,GXS,Positive
6,GXS,Neutral
7,GXS,Neutral
8,GXS,Positive
9,GXS,Negative
10,GXS,Positive
11,GXS,Negative
12,GXS,Neutral
13,GXS,Negative
14,GXS,Positive
15,GXS,Positive
16,GXS,Negative
17,GXS,Positive
18,GXS,Positive
19,GXS,Positive
20,GXS,Positive
21,GXS,Negative
22,GXS,Negative
23,GXS,Positive
24,GXS,Positive
25,GXS,Neutral
26,GXS,Positive
27,GXS,Neutral
28,GXS,Neutral
29,GXS,Positive
30,GXS,Positive
31,GXS,Negative
32,GXS,Positive
33,GXS,Positive
34,GXS,Positive
35,GXS,Positive
36,GXS,Neutral
37,GXS,Positive
38,GXS,Positive
39,GXS,Negative
40,GXS,Neutral
41,GXS,Neutral
