rowid,service,issue,recommendation_no,review
74,App,Technical glitches,R1,"Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎"
75,App,Technical glitches,R1,"I cannot open the app at all, even after updates it keeps telling something went wrong."
709,App,Technical glitches,R1,Can not open
731,App,Technical glitches,R1,could not open my gxs app
739,App,Technical glitches,R1,Couldn't use the app suddenly
774,App,Technical glitches,R1,"Pathetic app and support. Paynow qr, which is the only way to spend money from this bank account is not working for months and support is providing meaningless replies"
790,App,Technical glitches,R1,Can't even open the GXS app... the only way to access your account with a digital bank. It's like placing your money and cementing it with a roof and 4 walls with no doors!
791,App,Technical glitches,R1,Attempt to try but it keep post something wrong.cannot go thru the apps.dont know why?3 times try even more but still can't get thru?
792,App,Technical glitches,R1,Unable to open the app and use my funds. Is this some kind of cash grab?
795,App,Technical glitches,R1,"Stuck on Oops, something went wrong page when opening the app, while overseas. I can't imagine if I was in a urgent situation and my banking app failed like this. No way to access funds through a browser too means you can't do anything at all other than hope the problem is fixed soon. Put what you can afford to lose."
796,App,Technical glitches,R1,Same cannot open the apps now... What happened?...
797,App,Technical glitches,R1,Unable to open all of a sudden when I try on 7 Sep and only stuck in loading screen
800,App,Technical glitches,R1,"Unable to open app. From other reviews, seems I am not the only one. How to trust this bank?"
804,App,Technical glitches,R1,"Cannot seem to open the app suddenly. Did not install new apps or change any setting on phone. Tried uninstalling and reinstalling still no avail. Although your CSO has been trying to rectify, it is still unsolvable. Sad, as when it first came out, I was the one of the many who applied in the beginning stage. Your services helped me. But now I have no access to it."
809,App,Technical glitches,R1,Cannot open the apps. Why partner with Grab? Useless app
816,App,Technical glitches,R1,Can't open
824,App,Technical glitches,R1,I seem to be having issues with the opening of the app.
836,App,Technical glitches,R1,Can GXS pls explain why the app keeps saying there is unexpected error and I cannot even open the app????
843,App,Technical glitches,R1,Download already can't even open the file.
867,App,Technical glitches,R1,Can't even open the app after downloaded it....try redownload it a few time also same
871,App,Technical glitches,R1,"Doesn't work after login page, freezea"
875,App,Technical glitches,R1,Cant launch. Stalled at invisible layer. Then receive crashed notification.
882,App,Technical glitches,R1,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.
886,App,Technical glitches,R1,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!
29,App,Registration and setup,R2,Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?
96,App,Registration and setup,R2,When I sign up can’t sign up always say oops something went wrong please try again
118,App,Registration and setup,R2,"useless app.  unable to join or open account,
app is not open to all in sg"
718,App,Registration and setup,R2,I don't set. A password in my phone n not allow me to down load this apps
722,App,Registration and setup,R2,I'm stuck on the singpass page without being able to proceed. All is updated to latest ver.
724,App,Registration and setup,R2,Cannot sig up
749,App,Registration and setup,R2,Cannot set up my account in redmi 8T. Reach the email 2FA before I key in the numbers App closed
772,App,Registration and setup,R2,Seems to be full. Unable to sign up. Uninstalling since it is the case.
784,App,Registration and setup,R2,"Cannot register, keep nothing pop up On sign up"
811,App,Registration and setup,R2,Have not even tried already failed on me. Just to download has the error and ask to download again .. 😔
819,App,Registration and setup,R2,Cannot even sign up properly
829,App,Registration and setup,R2,I have been trying for few hours to signed up for the flexiloan using Singpass.. till now it shows couldn't retrieve Myinfo.. wanted to Live Chat with anyone for assistance but there's no icon showing Live chat at the help center at all..
834,App,Registration and setup,R2,Tried multiple times still unable to sign up....
837,App,Registration and setup,R2,Dogshit app that takes forever to setup and days to review applications
860,App,Registration and setup,R2,"Hopeless app. If you can't auto startup singpass app, how to complete the registration!!!!"
863,App,Registration and setup,R2,I can't seem to register!!!!
868,App,Registration and setup,R2,I can't sign up at all!!!! It just go blank after I click up with singpass
869,App,Registration and setup,R2,Unable to sign up using singpass after multiple times.
880,App,Registration and setup,R2,You app downloading alway show technical priblem why??
892,App,Registration and setup,R2,"Can't even load properly. Prompted to set 6 digit security code, then application disappear and had to redo again with the same problem. Is this a legitimate mobile app?"
701,Banking,Application rejection,R3,They unable to process my application. 4x attempt
782,Banking,Application rejection,R3,"How many attempts for the year. Until now, message still the same. It’s not you, it’s us. We understand that receiving this news may be disappointing. And while we’re unable to disclose the specific reasons why your GXS FlexiLoan application wasn’t approved, please know that every GXS FlexiLoan application goes through an evaluation process that must meet our eligibility criteria and internal assessment requirements."
807,Banking,Application rejection,R3,Was rejected without details
839,Banking,Application rejection,R3,rejected everytime try to apply
876,Banking,Application rejection,R3,"Received email notifying savings account is available to sign up, but when i tried to sign up, i got rejected immediately. No reason was given when rejected, only show faq which does not answer my question. Even after reaching out to the support email, no specific reason was given. I was simply told not eligible. An alternative savings account I suggest would be OCBC 360, which also offer high interest rate with terms and conditions."
894,Banking,Application rejection,R3,I have merely tried to apply for your flexi loan on this app. But when i tried to applied like 9 times straight i have been instantly being asked to reapply over and over again. Very bad for user experience and does not live up to expectations till today
