Review Number,Intent Category
2,Request
3,Opinion
4,Issue
5,Feedback
6,Issue
7,Opinion
8,Feedback
9,Issue
10,Feedback
11,Feedback
12,Feedback
13,Issue
14,Feedback
15,Request
16,Feedback
17,Request
18,Opinion
19,Feedback
20,Feedback
21,Request
22,Feedback
23,Opinion
24,Issue
25,Request
26,Feedback
27,Feedback
28,Feedback
29,Feedback
30,Request
31,Issue
32,Opinion
33,Request
34,Feedback
35,Opinion
36,Issue
37,Issue
38,Opinion
39,Feedback
40,Opinion
41,Feedback
42,Feedback
43,Feedback
44,Opinion
45,Request
46,Feedback
47,Feedback
48,Feedback
49,Opinion
50,Feedback
51,Feedback
52,Issue
53,Feedback
54,Feedback
55,Issue
56,Feedback
57,Request
58,Feedback
59,Request
60,Feedback
61,Opinion
62,Issue
63,Feedback
64,Feedback
65,Opinion
66,Feedback
67,Issue
68,Feedback
69,Issue
70,Issue
71,Feedback
72,Feedback
73,Feedback
74,Issue
75,Issue
76,Issue
77,Issue
78,Issue
79,Issue
80,Issue
81,Feedback
82,Issue
83,Issue
84,Feedback
85,Issue
86,Opinion
87,Issue
88,Issue
89,Feedback
90,Issue
91,Feedback
92,Issue
93,Feedback
94,Feedback
95,Feedback
96,Issue
97,Issue
98,Issue
99,Issue
100,Issue
101,Issue
102,Feedback
103,Issue
104,Issue
105,Feedback
106,Feedback
107,Opinion
108,Issue
109,Feedback
110,Issue
111,Feedback
112,Issue
113,Feedback
114,Issue
115,Opinion
116,Feedback
117,Request
118,Feedback
119,Issue
120,Issue
121,Feedback
122,Feedback
123,Feedback
124,Issue
125,Feedback
126,Feedback
127,Issue
128,Issue
129,Issue
130,Issue
131,Feedback
132,Issue
133,Issue
134,Issue
135,Feedback
136,Issue
137,Issue
138,Feedback
139,Issue
140,Feedback
141,Issue
142,Issue
143,Issue
144,Feedback
145,Issue
146,Feedback
147,Feedback
148,Feedback
149,Feedback
150,Feedback
151,Feedback
152,Feedback
153,Issue
154,Issue
155,Issue
156,Issue
157,Issue
158,Issue
159,Issue
160,Issue
161,Issue
162,Issue
163,Issue
164,Issue
165,Issue
166,Issue
167,Issue
168,Issue
169,Issue
170,Issue
171,Issue
172,Issue
173,Issue
174,Issue
175,Issue
176,Issue
177,Issue
178,Issue
179,Issue
180,Issue
181,Issue
182,Opinion
183,Issue
184,Issue
185,Feedback
186,Issue
187,Feedback
188,Issue
189,Feedback
190,Issue
191,Feedback
192,Issue
193,Issue
194,Issue
195,Feedback
196,Issue
197,Issue
198,Issue
199,Feedback
200,Issue
201,Issue
202,Issue
203,Issue
204,Feedback
205,Feedback
206,Issue
207,Issue
208,Feedback
209,Issue
210,Issue
211,Feedback
212,Feedback
213,Feedback
214,Issue
215,Issue
216,Issue
217,Issue
218,Issue
219,Issue
220,Issue
221,Issue
222,Issue
223,Feedback
224,Issue
225,Issue
226,Feedback
227,Feedback
228,Issue
229,Issue
230,Issue
231,Issue
232,Issue
233,Feedback
234,Issue
235,Issue
236,Feedback
237,Issue
238,Feedback
239,Issue
240,Issue
241,Issue
242,Issue
243,Feedback
244,Issue
245,Feedback
246,Issue
247,Issue
248,Issue
249,Issue
250,Feedback
251,Issue
252,Issue
253,Issue
254,Feedback
255,Feedback
256,Feedback
257,Issue
258,Issue
259,Feedback
260,Issue
261,Issue
262,Issue
263,Feedback
264,Feedback
265,Feedback
266,Issue
267,Issue
268,Issue
269,Issue
270,Issue
271,Issue
272,Issue
273,Feedback
274,Issue
275,Issue
276,Issue
277,Issue
278,Issue
279,Issue
280,Feedback
281,Issue
282,Feedback
283,Issue
284,Issue
285,Issue
286,Issue
287,Issue
288,Issue
289,Issue
290,Feedback
291,Issue
292,Issue
293,Issue
294,Issue
295,Issue
296,Issue
297,Issue
298,Issue
299,Issue
300,Issue
301,Issue
302,Issue
303,Feedback
304,Issue
305,Issue
306,Issue
307,Issue
308,Issue
309,Issue
310,Issue
311,Issue
312,Issue
313,Feedback
314,Issue
315,Issue
316,Issue
317,Issue
318,Issue
319,Issue
320,Issue
321,Feedback
322,Issue
323,Opinion
324,Feedback
325,Feedback
326,Issue
327,Request
328,Opinion
329,Feedback
330,Issue
331,Issue
332,Issue
333,Feedback
334,Feedback
335,Feedback
336,Issue
337,Feedback
338,Feedback
339,Issue
340,Issue
341,Issue
342,Issue
343,Feedback
344,Issue
345,Issue
346,Issue
347,Issue
348,Issue
349,Issue
350,Feedback
351,Issue
352,Feedback
353,Issue
354,Issue
355,Issue
356,Issue
357,Issue
358,Issue
359,Issue
360,Feedback
361,Issue
362,Issue
363,Issue
364,Issue
365,Issue
366,Issue
367,Issue
368,Issue
369,Issue
370,Issue
371,Issue
372,Issue
373,Issue
374,Feedback
375,Issue
376,Issue
377,Issue
378,Issue
379,Issue
380,Issue
381,Issue
382,Issue
383,Issue
384,Issue
385,Issue
386,Feedback
387,Issue
388,Issue
389,Issue
390,Issue
391,Issue
392,Feedback
393,Issue
394,Request
395,Issue
396,Opinion
397,Issue
398,Feedback
399,Issue
400,Issue
401,Opinion
402,Issue
403,Feedback
404,Feedback
405,Issue
406,Feedback
407,Feedback
408,Issue
409,Feedback
410,Feedback
411,Issue
412,Issue
413,Issue
414,Issue
415,Issue
416,Feedback
417,Issue
418,Feedback
419,Issue
420,Issue
421,Issue
422,Issue
423,Feedback
424,Issue
425,Issue
426,Issue
427,Issue
428,Issue
429,Issue
430,Issue
431,Issue
432,Issue
433,Issue
434,Issue
435,Issue
436,Issue
437,Feedback
438,Issue
439,Issue
440,Issue
441,Issue
442,Feedback
443,Issue
444,Issue
445,Issue
446,Issue
447,Feedback
448,Issue
449,Issue
450,Issue
451,Feedback
452,Issue
453,Feedback
454,Issue
455,Issue
456,Feedback
457,Feedback
458,Issue
459,Issue
460,Issue
461,Feedback
462,Opinion
463,Issue
464,Request
465,Opinion
466,Feedback
467,Issue
468,Issue
469,Feedback
470,Feedback
471,Request
472,Issue
473,Feedback
474,Issue
475,Issue
476,Feedback
477,Issue
478,Issue
479,Issue
480,Issue
481,Feedback
482,Issue
483,Issue
484,Feedback
485,Feedback
486,Issue
487,Issue
488,Issue
489,Feedback
490,Issue
491,Issue
492,Issue
493,Issue
494,Feedback
495,Issue
496,Feedback
497,Feedback
498,Feedback
499,Feedback
500,Issue
501,Issue
502,Feedback
503,Feedback
504,Issue
505,Issue
506,Issue
507,Issue
508,Feedback
509,Feedback
510,Issue
511,Issue
512,Feedback
513,Feedback
514,Issue
515,Feedback
516,Feedback
517,Issue
518,Issue
519,Feedback
520,Issue
521,Issue
522,Issue
523,Feedback
524,Issue
525,Feedback
526,Issue
527,Issue
528,Issue
529,Issue
530,Issue
531,Issue
532,Issue
533,Issue
534,Feedback
535,Issue
536,Feedback
537,Issue
538,Issue
539,Feedback
540,Feedback
541,Issue
542,Issue
543,Feedback
544,Feedback
545,Feedback
546,Issue
547,Issue
548,Feedback
549,Feedback
550,Issue
551,Issue
552,Feedback
553,Feedback
554,Issue
555,Feedback
556,Feedback
557,Issue
558,Feedback
559,Feedback
560,Feedback
561,Issue
562,Feedback
563,Feedback
564,Issue
565,Issue
566,Issue
567,Issue
568,Issue
569,Issue
570,Feedback
571,Issue
572,Issue
573,Feedback
574,Feedback
575,Issue
576,Feedback
577,Feedback
578,Issue
579,Issue
580,Feedback
581,Feedback
582,Issue
583,Issue
584,Feedback
585,Feedback
586,Issue
587,Issue
588,Issue
589,Feedback
590,Feedback
591,Issue
592,Issue
593,Issue
594,Issue
595,Issue
596,Issue
597,Feedback
598,Feedback
599,Feedback
600,Issue
601,Issue
698,Issue
699,Opinion
700,Issue
701,Issue
702,Issue
703,Opinion
704,Feedback
705,Feedback
706,Feedback
707,Feedback
708,Opinion
709,Request
710,Feedback
711,Feedback
712,Request
713,Feedback
714,Feedback
715,Feedback
716,Feedback
717,Issue
718,Issue
719,Issue
720,Opinion
721,Issue
722,Issue
723,Issue
724,Request
725,Issue
726,Issue
727,Issue
728,Issue
729,Issue
730,Issue
731,Issue
732,Issue
733,Issue
734,Issue
735,Issue
736,Issue
737,Issue
738,Feedback
739,Issue
740,Issue
741,Feedback
742,Issue
743,Issue
744,Issue
745,Request
746,Issue
747,Issue
748,Issue
749,Issue
750,Issue
751,Issue
752,Feedback
753,Issue
754,Issue
755,Feedback
756,Issue
757,Feedback
758,Feedback
759,Issue
760,Issue
761,Issue
762,Issue
763,Issue
764,Issue
765,Feedback
766,Issue
767,Issue
768,Request
769,Issue
770,Issue
771,Feedback
772,Opinion
773,Issue
774,Issue
775,Issue
776,Feedback
777,Issue
778,Feedback
779,Feedback
780,Issue
781,Feedback
782,Feedback
783,Issue
784,Issue
785,Issue
786,Feedback
787,Feedback
788,Feedback
789,Issue
790,Issue
791,Issue
792,Issue
793,Issue
794,Issue
795,Issue
796,Issue
797,Issue
798,Issue
799,Issue
800,Issue
801,Issue
802,Issue
803,Issue
804,Issue
805,Issue
806,Issue
807,Issue
808,Issue
809,Issue
810,Issue
811,Issue
812,Issue
813,Issue
814,Issue
815,Issue
816,Issue
817,Issue
818,Issue
819,Issue
820,Issue
821,Issue
822,Issue
823,Issue
824,Issue
825,Issue
826,Issue
827,Issue
828,Issue
829,Issue
830,Issue
831,Issue
832,Issue
833,Issue
834,Issue
835,Issue
836,Issue
837,Issue
838,Issue
839,Issue
840,Issue
841,Issue
842,Issue
843,Issue
844,Issue
845,Issue
846,Feedback
847,Feedback
848,Issue
849,Issue
850,Issue
851,Feedback
852,Feedback
853,Issue
854,Issue
855,Issue
856,Issue
857,Feedback
858,Issue
859,Issue
860,Issue
861,Feedback
862,Issue
863,Issue
864,Feedback
865,Issue
866,Feedback
867,Feedback
868,Issue
869,Feedback
870,Issue
871,Issue
872,Issue
873,Issue
874,Issue
875,Issue
876,Issue
877,Issue
878,Issue
879,Issue
880,Issue
881,Issue
882,Issue
883,Issue
884,Issue
885,Issue
886,Issue
887,Issue
888,Issue
889,Issue
890,Issue
891,Issue
892,Issue
893,Issue
894,Issue
895,Issue
896,Issue
897,Issue
898,Issue
899,Issue
900,Issue
901,Issue
902,Issue
903,Issue
904,Issue
905,Issue
906,Issue
907,Feedback
908,Opinion
909,Issue
910,Feedback
911,Feedback
912,Opinion
913,Issue
914,Feedback
915,Request
916,Issue
917,Request
918,Opinion
919,Issue
920,Feedback
921,Issue
922,Request
923,Opinion
924,Feedback
925,Feedback
926,Issue
927,Feedback
928,Issue
929,Issue
930,Feedback
931,Issue
932,Opinion
933,Issue
934,Feedback
935,Issue
936,Issue
937,Issue
938,Issue
939,Issue
940,Issue
941,Issue
942,Issue
943,Issue
944,Issue
945,Issue
946,Issue
947,Issue
948,Issue
