Review Number,Sentiment
2,Positive
3,Positive
4,Negative
5,Negative
6,Positive
7,Negative
8,Positive
9,Negative
10,Positive
11,Negative
12,Positive
13,Negative
14,Positive
15,Negative
16,Positive
17,Neutral
18,Positive
19,Positive
20,Positive
21,Negative
22,Positive
23,Neutral
24,Positive
25,Negative
26,Neutral
27,Positive
28,Neutral
29,Positive
30,Positive
31,Negative
32,Positive
33,Positive
34,Positive
35,Positive
36,Positive
37,Positive
38,Negative
39,Negative
40,Negative
41,Negative
42,Positive
43,Positive
44,Positive
45,Positive
46,Positive
47,Neutral
48,Negative
49,Positive
50,Positive
51,Positive
52,Positive
53,Positive
54,Negative
55,Neutral
56,Positive
57,Positive
58,Positive
59,Positive
60,Negative
61,Negative
62,Neutral
63,Positive
64,Positive
65,Positive
66,Positive
67,Positive
68,Positive
69,Negative
70,Negative
71,Negative
72,Negative
73,Negative
74,Positive
75,Positive
76,Negative
77,Negative
78,Negative
79,Negative
80,Negative
81,Positive
82,Negative
83,Positive
84,Positive
85,Negative
86,Negative
87,Positive
88,Negative
89,Positive
90,Negative
91,Positive
92,Positive
93,Negative
94,Positive
95,Negative
96,Negative
97,Negative
98,Positive
99,Positive
100,Negative
101,Neutral
102,Positive
103,Positive
104,Positive
105,Negative
106,Negative
107,Positive
108,Neutral
109,Negative
110,Positive
111,Positive
112,Negative
113,Positive
114,Negative
115,Negative
116,Positive
117,Positive
118,Negative
119,Neutral
120,Negative
121,Neutral
122,Neutral
123,Neutral
124,Positive
125,Negative
126,Negative
127,Negative
128,Positive
129,Negative
130,Positive
131,Positive
132,Negative
133,Negative
134,Positive
135,Neutral
136,Negative
137,Negative
138,Positive
139,Neutral
140,Negative
141,Negative
142,Positive
143,Negative
144,Neutral
145,Negative
146,Negative
147,Negative
148,Negative
149,Positive
150,Neutral
151,Negative
152,Negative
153,Negative
154,Negative
155,Neutral
156,Negative
157,Negative
158,Negative
159,Negative
160,Neutral
161,Neutral
162,Negative
163,Neutral
164,Neutral
165,Neutral
166,Negative
167,Negative
168,Negative
169,Negative
170,Negative
171,Neutral
172,Negative
173,Negative
174,Negative
175,Negative
176,Negative
177,Neutral
178,Negative
179,Negative
180,Negative
181,Negative
182,Positive
183,Negative
184,Negative
185,Negative
186,Positive
187,Negative
188,Neutral
189,Negative
190,Negative
191,Negative
192,Negative
193,Negative
194,Negative
195,Negative
196,Negative
197,Negative
198,Negative
199,Negative
200,Negative
201,Negative
202,Negative
203,Negative
204,Negative
205,Negative
206,Negative
207,Negative
208,Negative
209,Negative
210,Negative
211,Negative
212,Negative
213,Negative
214,Negative
215,Negative
216,Negative
217,Negative
218,Negative
219,Negative
220,Negative
221,Negative
222,Negative
223,Negative
224,Negative
225,Negative
226,Negative
227,Negative
228,Negative
229,Negative
230,Negative
231,Negative
232,Negative
233,Negative
234,Negative
235,Negative
236,Negative
237,Negative
238,Negative
239,Negative
240,Negative
241,Negative
242,Negative
243,Negative
244,Negative
245,Negative
246,Negative
247,Negative
248,Negative
249,Negative
250,Negative
251,Neutral
252,Negative
253,Negative
254,Positive
255,Positive
256,Positive
257,Negative
258,Positive
259,Positive
260,Negative
261,Negative
262,Positive
263,Negative
264,Negative
265,Neutral
266,Neutral
267,Neutral
268,Negative
269,Neutral
270,Negative
271,Neutral
272,Neutral
273,Positive
274,Negative
275,Neutral
276,Negative
277,Neutral
278,Positive
279,Neutral
280,Negative
281,Neutral
282,Negative
283,Neutral
284,Negative
285,Neutral
286,Neutral
287,Negative
288,Negative
289,Negative
290,Negative
291,Negative
292,Negative
293,Negative
294,Neutral
295,Neutral
296,Negative
297,Negative
298,Neutral
299,Negative
300,Neutral
301,Negative
302,Negative
303,Negative
304,Neutral
305,Negative
306,Neutral
307,Neutral
308,Negative
309,Neutral
310,Negative
311,Neutral
312,Negative
313,Neutral
314,Neutral
315,Neutral
316,Neutral
317,Negative
318,Negative
319,Negative
320,Neutral
321,Positive
322,Negative
323,Positive
324,Positive
325,Positive
326,Negative
327,Neutral
328,Positive
329,Negative
330,Negative
331,Neutral
332,Positive
333,Neutral
334,Positive
335,Positive
336,Negative
337,Positive
338,Positive
339,Neutral
340,Positive
341,Negative
342,Neutral
343,Negative
344,Positive
345,Negative
346,Positive
347,Neutral
348,Positive
349,Neutral
350,Negative
351,Negative
352,Negative
353,Negative
354,Negative
355,Negative
356,Neutral
357,Neutral
358,Negative
359,Negative
360,Negative
361,Negative
362,Neutral
363,Negative
364,Negative
365,Neutral
366,Negative
367,Negative
368,Negative
369,Neutral
370,Negative
371,Negative
372,Negative
373,Negative
374,Negative
375,Neutral
376,Neutral
377,Negative
378,Negative
379,Negative
380,Negative
381,Negative
382,Negative
383,Neutral
384,Negative
385,Negative
386,Negative
387,Negative
388,Negative
389,Neutral
390,Negative
391,Neutral
392,Negative
393,Negative
394,Negative
395,Positive
396,Positive
397,Negative
398,Negative
399,Negative
400,Positive
401,Positive
402,Negative
403,Negative
404,Positive
405,Negative
406,Negative
407,Negative
408,Negative
409,Negative
410,Negative
411,Negative
412,Negative
413,Negative
414,Negative
415,Negative
416,Negative
417,Negative
418,Negative
419,Negative
420,Negative
421,Negative
422,Negative
423,Negative
424,Negative
425,Negative
426,Negative
427,Negative
428,Negative
429,Negative
430,Negative
431,Negative
432,Negative
433,Negative
434,Negative
435,Negative
436,Negative
437,Negative
438,Negative
439,Negative
440,Negative
441,Negative
442,Negative
443,Negative
444,Negative
445,Negative
446,Negative
447,Negative
448,Negative
449,Negative
450,Negative
451,Negative
452,Negative
453,Negative
454,Negative
455,Negative
456,Negative
457,Negative
458,Negative
459,Negative
460,Negative
461,Negative
462,Positive
463,Negative
464,Neutral
465,Positive
466,Positive
467,Negative
468,Negative
469,Negative
470,Positive
471,Negative
472,Negative
473,Negative
474,Neutral
475,Negative
476,Negative
477,Neutral
478,Negative
479,Negative
480,Negative
481,Negative
482,Negative
483,Negative
484,Negative
485,Negative
486,Negative
487,Positive
488,Negative
489,Negative
490,Negative
491,Negative
492,Negative
493,Neutral
494,Negative
495,Negative
496,Negative
497,Negative
498,Neutral
499,Positive
500,Negative
501,Negative
502,Neutral
503,Negative
504,Negative
505,Neutral
506,Negative
507,Neutral
508,Negative
509,Negative
510,Negative
511,Neutral
512,Negative
513,Neutral
514,Negative
515,Negative
516,Negative
517,Negative
518,Negative
519,Negative
520,Negative
521,Negative
522,Negative
523,Negative
524,Neutral
525,Negative
526,Negative
527,Negative
528,Neutral
529,Negative
530,Negative
531,Negative
532,Neutral
533,Negative
534,Positive
535,Negative
536,Positive
537,Negative
538,Negative
539,Positive
540,Negative
541,Negative
542,Negative
543,Negative
544,Positive
545,Positive
546,Negative
547,Positive
548,Negative
549,Negative
550,Negative
551,Negative
552,Positive
553,Negative
554,Negative
555,Negative
556,Positive
557,Negative
558,Negative
559,Negative
560,Negative
561,Negative
562,Negative
563,Positive
564,Negative
565,Negative
566,Neutral
567,Positive
568,Negative
569,Positive
570,Negative
571,Negative
572,Negative
573,Negative
574,Positive
575,Negative
576,Positive
577,Negative
578,Positive
579,Negative
580,Negative
581,Neutral
582,Negative
583,Negative
584,Positive
585,Negative
586,Negative
587,Negative
588,Negative
589,Positive
590,Negative
591,Neutral
592,Positive
593,Negative
594,Negative
595,Positive
596,Negative
597,Positive
598,Negative
599,Positive
600,Positive
601,Negative
698,Negative
699,Negative
700,Negative
701,Negative
702,Neutral
703,Positive
704,Negative
705,Positive
706,Positive
707,Negative
708,Neutral
709,Negative
710,Negative
711,Neutral
712,Positive
713,Positive
714,Neutral
715,Positive
716,Neutral
717,Negative
718,Negative
719,Negative
720,Negative
721,Neutral
722,Negative
723,Neutral
724,Negative
725,Neutral
726,Positive
727,Neutral
728,Neutral
729,Neutral
730,Positive
731,Negative
732,Neutral
733,Negative
734,Neutral
735,Negative
736,Neutral
737,Negative
738,Neutral
739,Neutral
740,Negative
741,Neutral
742,Negative
743,Neutral
744,Positive
745,Positive
746,Neutral
747,Negative
748,Negative
749,Neutral
750,Negative
751,Neutral
752,Positive
753,Neutral
754,Negative
755,Neutral
756,Negative
757,Negative
758,Negative
759,Neutral
760,Neutral
761,Negative
762,Positive
763,Negative
764,Neutral
765,Neutral
766,Negative
767,Negative
768,Neutral
769,Negative
770,Neutral
771,Negative
772,Positive
773,Negative
774,Negative
775,Negative
776,Positive
777,Positive
778,Neutral
779,Positive
780,Positive
781,Neutral
782,Positive
783,Positive
784,Negative
785,Positive
786,Neutral
787,Negative
788,Negative
789,Negative
790,Negative
791,Neutral
792,Negative
793,Neutral
794,Negative
795,Neutral
796,Negative
797,Negative
798,Negative
799,Neutral
800,Negative
801,Neutral
802,Negative
803,Negative
804,Neutral
805,Negative
806,Neutral
807,Neutral
808,Negative
809,Neutral
810,Negative
811,Neutral
812,Negative
813,Neutral
814,Negative
815,Negative
816,Negative
817,Negative
818,Negative
819,Neutral
820,Neutral
821,Negative
822,Positive
823,Negative
824,Neutral
825,Neutral
826,Negative
827,Negative
828,Neutral
829,Neutral
830,Negative
831,Neutral
832,Negative
833,Negative
834,Neutral
835,Negative
836,Negative
837,Negative
838,Negative
839,Negative
840,Negative
841,Negative
842,Negative
843,Negative
844,Neutral
845,Negative
846,Negative
847,Negative
848,Negative
849,Positive
850,Negative
851,Negative
852,Neutral
853,Neutral
854,Negative
855,Negative
856,Negative
857,Neutral
858,Neutral
859,Negative
860,Negative
861,Neutral
862,Neutral
863,Negative
864,Negative
865,Neutral
866,Negative
867,Neutral
868,Negative
869,Negative
870,Neutral
871,Negative
872,Neutral
873,Negative
874,Negative
875,Negative
876,Negative
877,Negative
878,Neutral
879,Positive
880,Neutral
881,Negative
882,Negative
883,Negative
884,Neutral
885,Negative
886,Negative
887,Negative
888,Negative
889,Neutral
890,Neutral
891,Negative
892,Negative
893,Negative
894,Neutral
895,Positive
896,Negative
897,Neutral
898,Negative
899,Neutral
900,Neutral
901,Neutral
902,Positive
903,Negative
904,Negative
905,Neutral
906,Neutral
907,Positive
908,Positive
909,Negative
910,Positive
911,Positive
912,Positive
913,Negative
914,Positive
915,Positive
916,Negative
917,Negative
918,Positive
919,Neutral
920,Positive
921,Negative
922,Negative
923,Negative
924,Negative
925,Negative
926,Negative
927,Negative
928,Neutral
929,Negative
930,Negative
931,Negative
932,Positive
933,Neutral
934,Negative
935,Negative
936,Negative
937,Negative
938,Negative
939,Neutral
940,Negative
941,Negative
942,Positive
943,Negative
944,Positive
945,Neutral
946,Negative
947,Negative
948,Negative
949,Negative
950,Negative
951,Negative
952,Negative
953,Negative
954,Positive
955,Negative
956,Neutral
957,Neutral
958,Neutral
959,Negative
960,Negative
961,Negative
962,Neutral
963,Neutral
964,Negative
965,Negative
966,Neutral
967,Positive
968,Neutral
969,Positive
970,Neutral
971,Negative
972,Neutral
973,Negative
974,Negative
975,Neutral
976,Neutral
977,Neutral
978,Neutral
979,Negative
980,Negative
981,Negative
982,Negative
983,Negative
984,Negative
985,Negative
