id,service,issue,recommendation_no,review
1,C,C1,R1,Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!
15,C,C1,R1,Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.
24,C,C1,R1,Can try for saving money !! My money said they liked there
120,C,C1,R1,Great features! Love it!
719,C,C1,R1,I don't set. A password in my phone n not allow me to down load this apps
824,C,C1,R1,"Barely a month in, GXS has indeed chosen to slash their interest rates i.e. effective 17 August 2023 onwards, the interest rate earned on Saving Pocket(s) funds have been adjusted from 3.48% p.a. to 2.68% p.a."
829,C,C1,R1,Seamless. Got it up and running in less than 5mins! Easy to transfer in and out from other banks. I like the daily interest credit. Helps me set aside money for daily use and motivates me to check how much I'm getting everyday. Dun understand why there are gripes and complaints from other reviewers. This app is fantastic 😍
855,C,C1,R1,"Everytime successfully signec up, after log in numerours time, it told me ""we have lost you in space"". Poor online banking"
860,C,C1,R1,Seamless registration. All done in less than 15 mins. Signed up and funds loaded. I guess they improved the app compared to the issues faced by other users earlier on.
867,C,C1,R1,Nice
3,D,D3,R2,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS."
11,D,D3,R2,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you
22,D,D3,R2,Very smooth to use and attractive app. Simple features and excited to see more advanced banking features in future.
50,D,D3,R2,Easy to use and log in! Very clean instruction.
60,D,D3,R2,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.
67,D,D3,R2,Nice design!
80,D,D3,R2,"App keeps giving me “something went wrong” and “it’s not you, it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing."
84,D,D3,R2,Apply one year ago..say when slots open up will let me know ..efficient bank sureee
98,D,D3,R2,Good to use
129,D,D3,R2,🚀🚀🚀🚀🚀
709,D,D3,R2,good 👍
711,D,D3,R2,Hi any chance for foreign to apply? Im work at sg
739,D,D3,R2,Easy to use
3,D,D3,R3,"Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS."
11,D,D3,R3,Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you
22,D,D3,R3,Very smooth to use and attractive app. Simple features and excited to see more advanced banking features in future.
50,D,D3,R3,Easy to use and log in! Very clean instruction.
60,D,D3,R3,GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.
67,D,D3,R3,Nice design!
80,D,D3,R3,"App keeps giving me “something went wrong” and “it’s not you, it’s us” notification whenever I attempt to log-in. Totally unusually at this time of writing."
84,D,D3,R3,Apply one year ago..say when slots open up will let me know ..efficient bank sureee
98,D,D3,R3,Good to use
112,D,D3,R3,"app is really easy to navigate, user-friendly"
119,D,D3,R3,"useless app.  unable to join or open account,
app is not open to all in sg"
125,D,D3,R3,#NAME?
126,D,D3,R3,heheh
129,D,D3,R3,🚀🚀🚀🚀🚀
709,D,D3,R3,good 👍
711,D,D3,R3,Hi any chance for foreign to apply? Im work at sg
712,D,D3,R3,"Really really damm time wasting, if not ready for sign up don't launch. Close down and don't let people wait for you, uninstalling now. Trust Bank is much better, CRAB!"
723,D,D3,R3,I'm stuck on the singpass page without being able to proceed. All is updated to latest ver.
739,D,D3,R3,Easy to use
741,D,D3,R3,Poor try attempted but still cannot . Terrible app....
742,D,D3,R3,"Few months have passed. And we still can't add favourite payee, etc. Can u guy really work on it"
752,D,D3,R3,Ease of use and payments
765,D,D3,R3,Friendly user
767,D,D3,R3,I hope the GXS Bank can given the interest 10% p.a as deposit $1 into the saving account as a free gift .
782,D,D3,R3,Awesome app for use
784,D,D3,R3,"Year 2023, a banking app that can't save pay, are you living in yesteryears?"
791,D,D3,R3,Can't even open the GXS app... the only way to access your account with a digital bank. It's like placing your money and cementing it with a roof and 4 walls with no doors!
808,D,D3,R3,Was rejected without details
810,D,D3,R3,Cannot open the apps. Why partner with Grab? Useless app
819,D,D3,R3,"""Oops something went wrong! ..."" (if only i can attach a screenshot)"
826,D,D3,R3,Interest rate dropping substantially after just ONE MONTH. Kind of hilarious. Moving out!
839,D,D3,R3,Cui full. Cannot sign up. Only on waiting list. What a waste.
852,D,D3,R3,"Great experience. Setup, top up, setup pocket and transfer smoothly"
862,D,D3,R3,"blank screen after they pull all my Singpass data. terrible digi bank, waste of time. taking my money to other banks. my phone is updated, latest OS, not jailbroken, all official and secure."
875,D,D3,R3,Great App Easy to use
880,D,D3,R3,Easy to register and deposit. Clean UI interface.
